 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4.11.2021    Time:  22: 5:27
 Units: L = m    , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      204  0.1910000E+03  0.50000E+00    4      571     0    -5     T
      205  0.1920000E+03  0.10000E+01    4      575     0    -5     T
      206  0.1930000E+03  0.10000E+01    2      577     0    -5     T
      207  0.1940000E+03  0.10000E+01    2      579     0    -5     T
      208  0.1945000E+03  0.50000E+00    4      583     0    -5     T
      209  0.1950000E+03  0.50000E+00    2      585     0    -5     T
      210  0.1960000E+03  0.10000E+01    4      589     0    -5     T
      211  0.1965000E+03  0.50000E+00    3      592     0    -5     T
      212  0.1970000E+03  0.50000E+00    2      594     0    -5     T
      213  0.1980000E+03  0.10000E+01    3      597     0    -5     T
      214  0.1990000E+03  0.10000E+01    2      599     0    -5     T
      215  0.1995000E+03  0.50000E+00    3      602     0    -5     T
      216  0.2000000E+03  0.50000E+00    2      604     0    -5     T
      217  0.2010000E+03  0.10000E+01    2      606     0    -5     T
      218  0.2020000E+03  0.10000E+01    3      609     0    -5     T
      219  0.2030000E+03  0.10000E+01    2      611     0    -5     T
      220  0.2040000E+03  0.10000E+01    2      613     0    -5     T
      221  0.2050000E+03  0.10000E+01    2      615     0    -5     T
      222  0.2055000E+03  0.50000E+00    2      617     0    -5     T
      223  0.2060000E+03  0.50000E+00    2      619     0    -5     T
      224  0.2070000E+03  0.10000E+01    4      623     0    -5     T
      225  0.2075000E+03  0.50000E+00    6      629     0    -5     T
      226  0.2080000E+03  0.50000E+00    5      634     0    -5     T
      227  0.2085000E+03  0.50000E+00    5      639     0    -5     T
      228  0.2090000E+03  0.50000E+00    3      642     0    -5     T
      229  0.2100000E+03  0.10000E+01    4      646     0    -5     T
      230  0.2110000E+03  0.10000E+01    2      648     0    -5     T
      231  0.2115000E+03  0.50000E+00    2      650     0    -5     T
      232  0.2120000E+03  0.50000E+00    2      652     0    -5     T
      233  0.2130000E+03  0.10000E+01    2      654     0    -5     T
      234  0.2140000E+03  0.10000E+01    2      656     0    -5     T
      235  0.2150000E+03  0.10000E+01    2      658     0    -5     T
      236  0.2160000E+03  0.10000E+01    2      660     0    -5     T
      237  0.2165000E+03  0.50000E+00    3      663     0    -5     T
      238  0.2170000E+03  0.50000E+00    2      665     0    -5     T
      239  0.2180000E+03  0.10000E+01    3      668     0    -5     T
      240  0.2190000E+03  0.10000E+01    2      670     0    -5     T
      241  0.2200000E+03  0.10000E+01    2      672     0    -5     T
      242  0.2210000E+03  0.10000E+01    2      674     0    -5     T
      243  0.2220000E+03  0.10000E+01    2      676     0    -5     T
      244  0.2230000E+03  0.10000E+01    2      678     0    -5     T
      245  0.2240000E+03  0.10000E+01    2      680     0    -5     T
      246  0.2250000E+03  0.10000E+01    2      682     0    -5     T
      247  0.2255000E+03  0.50000E+00    2      684     0    -5     T
      248  0.2260000E+03  0.50000E+00    2      686     0    -5     T
      249  0.2270000E+03  0.10000E+01    4      690     0    -5     T
      250  0.2280000E+03  0.10000E+01    2      692     0    -5     T
      251  0.2290000E+03  0.10000E+01    2      694     0    -5     T
      252  0.2300000E+03  0.10000E+01    2      696     0    -5     T
      253  0.2310000E+03  0.10000E+01    2      698     0    -5     T
      254  0.2315000E+03  0.50000E+00    2      700     0    -5     T
      255  0.2320000E+03  0.50000E+00    2      702     0    -5     T
      256  0.2330000E+03  0.10000E+01    4      706     0    -5     T
      257  0.2340000E+03  0.10000E+01    2      708     0    -5     T
      258  0.2345000E+03  0.50000E+00    5      713     0    -5     T
      259  0.2350000E+03  0.50000E+00    4      717     0    -5     T
      260  0.2355000E+03  0.50000E+00    4      721     0    -5     T
      261  0.2360000E+03  0.50000E+00    3      724     0    -5     T
      262  0.2370000E+03  0.10000E+01    4      728     0    -5     T
      263  0.2375000E+03  0.50000E+00    5      733     0    -5     T
      264  0.2380000E+03  0.50000E+00    4      737     0    -5     T
      265  0.2385000E+03  0.50000E+00    4      741     0    -5     T
      266  0.2390000E+03  0.50000E+00    2      743     0    -5     T
      267  0.2395000E+03  0.50000E+00    7      750     0    -5     T
      268  0.2400000E+03  0.50000E+00    6      756     0    -5     T
      269  0.2405000E+03  0.50000E+00    6      762     0    -5     T
      270  0.2410000E+03  0.50000E+00    4      766     0    -5     T
      271  0.2415000E+03  0.50000E+00    4      770     0    -5     T
      272  0.2420000E+03  0.50000E+00    3      773     0    -5     T
      273  0.2430000E+03  0.10000E+01    4      777     0    -5     T
      274  0.2440000E+03  0.10000E+01    3      780     0    -5     T
      275  0.2450000E+03  0.10000E+01    2      782     0    -5     T
      276  0.2460000E+03  0.10000E+01    2      784     0    -5     T
      277  0.2470000E+03  0.10000E+01    2      786     0    -5     T
      278  0.2480000E+03  0.10000E+01    2      788     0    -5     T
      279  0.2490000E+03  0.10000E+01    4      792     0    -5     T
      280  0.2500000E+03  0.10000E+01    4      796     0    -5     T
      281  0.2510000E+03  0.10000E+01    2      798     0    -5     T
      282  0.2520000E+03  0.10000E+01    2      800     0    -5     T
      283  0.2530000E+03  0.10000E+01    4      804     0    -5     T
      284  0.2540000E+03  0.10000E+01    7      811     0    -5     T
      285  0.2550000E+03  0.10000E+01    6      817     0    -5     T
      286  0.2560000E+03  0.10000E+01    6      823     0    -5     T
      287  0.2570000E+03  0.10000E+01    4      827     0    -5     T
      288  0.2575000E+03  0.50000E+00    5      832     0    -5     T
      289  0.2580000E+03  0.50000E+00    4      836     0    -5     T
      290  0.2585000E+03  0.50000E+00    4      840     0    -5     T
      291  0.2590000E+03  0.50000E+00    2      842     0    -5     T
      292  0.2600000E+03  0.10000E+01    2      844     0    -5     T
      293  0.2610000E+03  0.10000E+01    2      846     0    -5     T
      294  0.2620000E+03  0.10000E+01    2      848     0    -5     T
      295  0.2625000E+03  0.50000E+00    4      852     0    -5     T
      296  0.2630000E+03  0.50000E+00    2      854     0    -5     T
      297  0.2635000E+03  0.50000E+00    5      859     0    -5     T
      298  0.2640000E+03  0.50000E+00    4      863     0    -5     T
      299  0.2645000E+03  0.50000E+00    4      867     0    -5     T
      300  0.2650000E+03  0.50000E+00    2      869     0    -5     T
