 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4.11.2021    Time:  22: 5:27
 Units: L = m    , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      35.0000  0.00000E+00  0.00000E+00 -0.13679E-08  0.00000E+00 -0.74594E-03 -0.24008E-01  0.00000E+00 -0.24009E-01  0.00000E+00 -0.31532E-01 -0.37152E+01  0.00000E+00 -0.39184E+01  0.00000E+00  0.00000E+00  0.40289E+00  0.00000E+00  0.68940E-08     37  0.00000E+00      0.000
      36.0000  0.00000E+00  0.00000E+00  0.22410E-08  0.00000E+00 -0.75656E-03 -0.24008E-01  0.00000E+00 -0.24008E-01  0.00000E+00 -0.32289E-01 -0.38127E+01  0.00000E+00 -0.38961E+01  0.00000E+00  0.00000E+00  0.40214E+00  0.00000E+00  0.91350E-08     38  0.00000E+00      0.000
      37.0000  0.00000E+00  0.00000E+00 -0.87311E-09  0.00000E+00 -0.76703E-03 -0.24008E-01  0.00000E+00 -0.24008E-01  0.00000E+00 -0.33056E-01 -0.39087E+01  0.00000E+00 -0.38734E+01  0.00000E+00  0.00000E+00  0.40137E+00  0.00000E+00  0.91350E-08     39  0.00000E+00      0.000
      38.0000  0.00000E+00  0.00000E+00 -0.32742E-09  0.00000E+00 -0.77773E-03 -0.24008E-01  0.00000E+00 -0.24008E-01  0.00000E+00 -0.33834E-01 -0.39806E+01  0.00000E+00 -0.38534E+01  0.00000E+00  0.00000E+00  0.40059E+00  0.00000E+00  0.91350E-08     40  0.00000E+00      0.000
      39.0000  0.00000E+00  0.00000E+00 -0.58208E-10  0.00000E+00 -0.79458E-03 -0.24008E-01  0.00000E+00 -0.24008E-01  0.00000E+00 -0.34628E-01 -0.40463E+01  0.00000E+00 -0.38392E+01  0.00000E+00  0.00000E+00  0.39980E+00  0.00000E+00  0.91350E-08     41  0.00000E+00      0.000
      40.0000  0.00000E+00  0.00000E+00  0.19427E-08  0.00000E+00 -0.80822E-03 -0.24008E-01  0.00000E+00 -0.24008E-01  0.00000E+00 -0.35436E-01 -0.41033E+01  0.00000E+00 -0.38274E+01  0.00000E+00  0.00000E+00  0.39899E+00  0.00000E+00  0.11078E-07     42  0.00000E+00      0.000
      41.0000  0.00000E+00  0.00000E+00 -0.15134E-08  0.00000E+00 -0.81723E-03 -0.24008E-01  0.00000E+00 -0.24008E-01  0.00000E+00 -0.36254E-01 -0.41550E+01  0.00000E+00 -0.38195E+01  0.00000E+00  0.00000E+00  0.39817E+00  0.00000E+00  0.11078E-07     43  0.00000E+00      0.000
      42.0000  0.00000E+00  0.00000E+00 -0.11096E-08  0.00000E+00 -0.82203E-03 -0.24008E-01  0.00000E+00 -0.24009E-01  0.00000E+00 -0.37076E-01 -0.42019E+01  0.00000E+00 -0.38150E+01  0.00000E+00  0.00000E+00  0.39735E+00  0.00000E+00  0.11078E-07     44  0.00000E+00      0.000
      43.0000  0.00000E+00  0.00000E+00 -0.67303E-09  0.00000E+00 -0.82275E-03 -0.24008E-01  0.00000E+00 -0.24009E-01  0.00000E+00 -0.37899E-01 -0.42452E+01  0.00000E+00 -0.38141E+01  0.00000E+00  0.00000E+00  0.39653E+00  0.00000E+00  0.11078E-07     45  0.00000E+00      0.000
      44.0000  0.00000E+00  0.00000E+00  0.72032E-09  0.00000E+00 -0.81986E-03 -0.24008E-01  0.00000E+00 -0.24009E-01  0.00000E+00 -0.38718E-01 -0.42852E+01  0.00000E+00 -0.38161E+01  0.00000E+00  0.00000E+00  0.39571E+00  0.00000E+00  0.11798E-07     46  0.00000E+00      0.000
